Pergunta,Tema,opção A,opção B,opção C,opção D,Resposta correta,Explicação
"You are managing a renovation project of a house which is to be completed at a budget of $100,000. Earned value analysis shows that so far you have completed 40% of the work and spent $60,000.  How much more will it cost to complete the project if the cost performance remains unchanged?",Cost Management," $160,000 "," $149,254 "," $120,000 "," $89,254 ",D,"The total budget, or budget at completion (BAC), is $100,000. The cost so far, or actual cost (AC), is $60,000. You have completed 40% of the work which is the earned value (EV), i.e., EV = 40% x $100,000 = $40,000.  Understanding what exactly the question asks is the key to answering the question correctly. The last sentence of the question starts with ""How much more will it cost to complete the project..."", implying we are requested to find the estimate to complete (ETC). The ETC can be calculated as follows:  ETC = EAC - AC, where the EAC is the estimate to complete.  Selecting the correct formual for the EAC is another key to answering this question correctly. The last sentence ofthe question ends with ""...if the cost performance remains unchanged?"", implying that the formula for the EAC should consider the cost performance index (CPI), i.e.:  EAC = BAC / CPI  The CPI, in turn, can be claculated using the following formula:  CPI = EV / AC = 40,000 / 60,000 = 0.67  The rest of the calculations are shown below:  EAC = 100,000 / 0.67 = 149,254  ETC = 149,254 - 60,000 = 89,254  Therefore, the cost to complete the renovation if the cost performance remains unchanged is $89,254"
"A major dispute arises with a vendor on a project. The project manager claims that the vendor has failed to perform its contractual obligations, while the vendor complains that the project is behind on payments.  What is the best course of action for the project manager in this situation?",Procurement Management, Refer this issue to a third party for mediation or arbitration , File a contract claim and then work directly with the vendor to resolve the issue ," Terminate the contract, document lessons learned, and find another vendor ", Conduct a procurement audit ,B,"When disputes arise on a project, claims administration can be an effective tool to help buyers and sellers reach an agreement and prevent damage caused by litigation and early contract termination. Filing a contract claim and working with the vendor to reach an agreement is a more direct problem-solving approach and therefore the 'best' answer choice. Claims administration also refers to using alternative dispute resolution. However, since mediation and arbitration can be costly, risky, and time-consuming, of the choices provided, negotiation is the preferred method of settling disputes and is, therefore, the best course of action in this situation."
You want to recognize the contributions of some of the high-performing team members so far in the project.  Which of the following do you need to guide you through this process?,Resource Management, Organizational process assets , Stakeholder register , Project team assignments , Quality metrics ,D,"The scenario implies you are carrying out the Manage Team process. Manage Team is the process of tracking team member performance, providing feedback, resolving issues, and managing team changes. Organizational process assets (OPAs) are an input to this process. Examples of the OPAs associated with the Manage Team process include certificates of appreciation, corporate apparel, and other organizational perquisites. Recognizing the contributions of the high-performing team members is part of the Manage Team process. The project manager can use the relevant OPAs to guide her through this process and provide the team members with the appropriate rewards and recognition."
"You are managing a project to construct a bridge at a location that is highly regulated by multiple levels of government. You are in the process of developing a plan that will establish the criteria and the activities for developing, monitoring, and controlling the schedule.  Which of the following should you gather to complete this process?",Schedule Management," The charter, project management plan, estimation databases, and PMO templates "," Government standards, the assumption log, schedule management plan, and milestone list "," The resource breakdown structure, lessons learned register, and scheduling methodology "," The project scope statement, risk register, and project team assignments ",A,"Establishing the criteria and the activities for developing, monitoring, and controlling the schedule is the main purpose of developing the schedule management plan, which is the primary output of the Plan Schedule Management process. To develop this plan, four inputs are required: project charter, project management plan, enterprise environmental factors (EEFs), and organizational process assets (OPAs). The project charter and the project management plan are explicitly called out in the correct answer choice, whereas the EEFs and the OPAs are represented by the estimation databases and PMO templates correspondingly. Therefore, among the available options, the charter, the project management plan, estimation databases, and PMO templates represent the best answer to the question asked."
"One of the project activities requires that a search of a large area is conducted to find debris from an explosion of a failed prototype. The project is now in planning, and there is a debate among the team members on the type and quantity of resources needed to complete this activity.  What should the project manager do first?",Resource Management, Select any resource and quantity to complete the task by the due date , Request the team to vote and make a decision based on majority ," Research various levels of resource capability and skills, types, and sizes ", Utilize a PMIS to manage resource pools and allocate resources ,C,"The question implies the team is carrying out the Estimate Activity Resources process. This process uses many tools and techniques. One technique to understand the resource needs and the best potential solutions for the activity resources is data analysis. Data analysis can be conducted in many forms and formats. The objective is to evaluate possible options or approaches or values to determine the best activity resource estimates. Once a value or a range of values has been determined as reasonable, estimates can be set or decisions that are most suitable for the participants made. Therefore, of the choices provided, before making any decision, researching various resources levels, types, and methods is what the project manager should do first."
"A project manager is developing a cost management plan and needs to determine the best source of funding for a project that is dictated by a legal requirement. The cost of capital is estimated at 9.7% for non-dividend paying equity, 6.7% for debt, and 5.1% for self-funding. The NPV of the project is $500,000, and the opportunity cost is $750,000.  What is the project manager's best course of action?",Cost Management, Fund the project with equity since there are no dividend obligations , Select the self-funding option since it provides the lowest cost of capital , Perform an alternatives analysis since there are multiple factors to consider , Recommend the termination of the project since another project has a higher NPV ,C,"The question states that the project manager is developing the cost management plan, which indicates that the Plan Cost Management process is being performed. A data analysis technique that can be used for this process includes an alternatives analysis, which is a technique used to evaluate identified options in order to select the options or approaches to use to execute and perform the work of the project. In this case, an alternatives analysis can consist of reviewing funding options such as self-funding, funding with equity, or funding with debt. Even though the question provides some financial data, there are other factors which should be taken into consideration before selecting the appropriate source of funding. Therefore, among the available options, the best course of action for the project manager is to perform an alternatives analysis."
"You are in the process of developing an approximation of the monetary resources needed to complete project work for a large-scale multinational project which will take at least seven years to complete. Your previous projects have all been domestic with short timeframes.  As part of the process you are currently performing, what might you need to do differently compared with your past projects?",Cost Management, Create a stakeholder engagement assessment matrix , Develop a more robust risk management plan , Consider additional enterprise environmental factors , Include additional organizational process assets ,C,"Developing an approximation of the monetary resources needed to complete project work is the main objective of the Estimate Costs process. Therefore, the question implies that you are conducting the Estimate Costs process and asks how this process will be affected by a large long-term multinational project. Thus, the answer choices that relate to other project management processes can be eliminated as correct responses. With the project lasting at least seven years, the impact of inflation over the course of the project must be considered. Additionally, since the project is international in scope, the project will likely be working with various currencies that will be subject to fluctuations in relative values. For large-scale projects that extend multiple years with multiple currencies, the fluctuations of currencies and inflation need to be understood and built into the Estimate Costs process. Exchange rates and inflation are considered enterprise environmental factors. Therefore, of the available choices, considering additional enterprise environmental factors is the best response."
"You are assigned to a software development project, and you are conducting a product review with an important client. Although the deliverables were previously verified, the client detects a defect and rejects one of the deliverables.  What should you do?",Scope Management, Submit a change request to fix the deliverable , Refund the customer for the value of the deliverable , Ask the project team to repair the defect , Begin the claims administration process ,A,"The question states that the deliverables have been previously verified implying the Control Quality process has been completed and resulted in verified deliverables as one of its outputs. In the scenario described, you are performing the Validate Scope process which is the process of formalizing acceptance of completed and verified project deliverables. One of the tools and techniques associated with this process is an inspection. The inspection includes activities such as measuring, examining, and validating to determine whether the work and deliverables meet requirements and product acceptance criteria. A product review is an example of an inspection. In this scenario, the client performed a test which exposed a software bug and caused a deliverable to be rejected. Unless stated otherwise in the question text, deliverables are always placed under configuration control. Therefore, submitting a change request to fix the deliverable is what you should do."
Not all team members are properly checking out resources used in the project.  What is the best option for the project manager?,Integration Management, Wait until there is a need or the team is impacted , Escalate the issue to the functional managers , Discuss the checkout rationale with the team , Remove the process of checking out resources ,C,"There is not enough information in the question to determine what resources exactly the scenario is talking about, and what does this checkout procedure mean. Prospective PMP aspirants have to keep in mind that questions on the real PMP exam may be short and vague. This question is a good example of what you may encounter on your exam. Regardless of how ambiguous the scenario is, always try to select the best answer to the question asked even if none of the choices looks like a perfect/ideal answer.  During the Direct and Manage Project Work process, the project manager is guiding, directing, and facilitating the plans of the project. Based on the scenario, it appears that the plans require the resources to be checked out. Those plans need to be better communicated and understood. There are many actions the project manager could take to direct and manage the project team to follow through with those plans. The answer choice that best aligns to that need is to discuss the purpose and rationale for the resource checkout and why the team should follow those plans."
"In a pharmaceutical project, human trials have been started. The CEO is thrilled about the success of the trials up to this point. She announces that the size of the patient pool for the trials should double from the one originally planned and results tracked in the new system launching this week.  What should the project manager do first?",Scope Management, Ramp up production to match the demand of the CEO , Consider what might be included in a change request , Adjust the scope baseline to reflect the increased trial size , Communicate the change in the scope to the project stakeholders ,B,"Managing changes to the project by following the organization's change control process established for the project is important in keeping the project under control and operating effectively. Changes to scope, like in the scenario of doubling the size of the patient pool as well as tracking the results in the new system, require evaluation, agreement, and approval. Who makes those approvals is up to the project organization and its change management plans. But before any changes are implemented or communicated, the change request must be submitted per the project's procedure and approved by those authorized to do so. A CEO's declaration of what should happen in the project does not substitute for the project's change control procedures and the Perform Integrated Change Control process."
